date,ticker,name,close,sma5,sma20,sma60,volume,volume_ma20,volume_ratio,next_close,ret_1d,ret_2d,ret_3d,ret_5d,hit_2pct_1d,hit_2pct_2d,hit_2pct_3d,hit_2pct_5d,prev_prev_day_change_pct,prev_day_change_pct,day_change_pct,rsi,recent_high,volume_change_pct,open_price,high_price,low_price,hh20,vol_today_vs_yday_pct,is_pullback,is_breakout,long_upper_wick,is_high_zone,big_bearish_yesterday,weekly_sma20_ok,first_sma20_touch,sma20_touch_count,trend_start_days_ago,atr_pct,day_of_week,cum_ret_1d,cum_ret_2d,cum_ret_3d,ret_4d,cum_ret_4d,hit_2pct_4d,cum_ret_5d,days_to_target,pos_within_3d,pos_within_5d,max_ret_3d,max_ret_5d,max_high_ret_5d
2025-12-01,ACN,Accenture,257.43,249.63,245.79,244.89,5025100,3579630.0,1.4,261.02,1.395,4.532,-1.286,-0.034,1,1,1,1,-0.55,0.87,2.97,60.4,,-37.5,253.13,258.9,251.02,258.9,236.4,False,False,False,True,False,False,False,1,2,2.47,0,1.395,5.99,4.627,-1.021,3.558,1,3.523,1.0,1,1,9.043,9.043,9.043
2025-12-01,BBY,Best Buy,76.23,77.53,76.56,76.35,6989400,3849075.0,1.82,73.91,-3.042,-0.681,-0.43,-2.171,0,0,0,0,1.66,-2.1,-2.57,48.3,,-55.6,76.98,77.74,75.51,82.58,180.5,False,False,False,False,False,False,True,1,1,3.4,0,-3.042,-3.703,-4.117,0.149,-3.975,0,-6.059,,1,1,0.738,0.738,0.738
2025-12-01,CFG,Citizens Financial Group,54.2,53.55,51.66,51.26,5027800,3790875.0,1.33,54.28,0.147,1.866,0.359,0.541,0,1,1,1,-0.39,0.22,0.89,64.7,,-57.1,53.55,54.57,53.4,54.57,233.4,False,False,False,True,False,False,False,0,2,2.43,0,0.147,2.015,2.382,-0.752,1.612,1,2.162,2.0,1,1,2.684,3.408,3.408
2025-12-01,CSX,CSX Corporation,34.74,34.77,34.64,34.58,15959400,13344280.0,1.2,34.86,0.344,2.802,0.64,0.138,0,1,1,1,1.15,0.54,-1.44,50.2,,-51.0,34.98,35.22,34.68,35.74,222.2,True,False,False,True,False,False,True,1,0,1.76,0,0.344,3.156,3.816,0.332,4.161,1,4.304,2.0,1,1,4.247,5.739,5.739
2025-12-01,D,Dominion Energy,59.49,60.51,59.64,59.27,7124500,5324105.0,1.34,59.05,-0.74,-0.53,-0.317,-0.085,0,0,0,0,1.62,0.37,-3.14,48.6,,-44.6,61.35,61.36,59.37,61.51,250.2,False,False,False,False,False,False,False,2,14,1.73,0,-0.74,-1.266,-1.579,-1.153,-2.713,0,-2.796,,1,1,0.296,0.296,0.296
2025-12-01,EXC,Exelon,45.3,45.89,45.51,45.03,11970300,8380610.0,1.43,44.62,-1.51,-1.022,-1.414,-1.096,0,0,0,0,1.73,1.18,-3.03,47.2,,-32.0,45.83,46.17,45.03,47.18,215.6,False,False,False,False,False,False,True,1,2,2.0,0,-1.51,-2.517,-3.896,-0.228,-4.115,0,-5.165,,0,0,-0.022,-0.022,-0.022
2025-12-01,HIG,Hartford (The),134.92,135.76,131.52,129.33,1706000,1374600.0,1.24,134.52,-0.295,-1.525,-0.887,0.232,0,0,0,0,-0.13,-0.26,-0.68,64.3,,-40.3,135.73,136.55,134.57,137.44,170.8,True,False,False,True,False,False,False,0,3,1.55,0,-0.295,-1.816,-2.686,-1.843,-4.48,0,-4.258,,1,1,0.133,0.133,0.133
2025-12-01,IVZ,Invesco,24.46,24.14,23.33,22.85,7919600,4026650.0,1.97,24.05,-1.703,0.619,3.362,-1.639,0,0,1,1,1.24,-0.33,0.86,63.3,,-61.0,24.08,24.52,23.78,24.59,470.5,False,False,False,True,False,False,False,1,3,3.18,0,-1.703,-1.095,2.23,4.086,6.407,1,4.663,3.0,1,1,4.217,7.015,7.015
2025-12-01,WRB,W. R. Berkley Corporation,71.74,75.45,74.88,73.86,4340300,2377685.0,1.83,71.56,-0.247,-1.58,-1.089,-0.165,0,0,0,0,-0.36,0.06,-6.06,36.0,,-47.1,76.28,76.74,71.72,77.62,589.0,False,False,False,False,False,False,False,2,14,1.84,0,-0.247,-1.822,-2.891,-5.856,-8.578,0,-8.728,,1,1,0.987,0.987,0.987
2025-12-01,WYNN,Wynn Resorts,132.48,128.04,123.59,123.08,2831000,1834495.0,1.54,132.8,0.241,-1.172,-4.417,1.291,0,0,0,0,1.56,-0.6,3.18,63.5,,-55.8,131.83,134.43,131.35,134.43,228.7,False,False,True,True,False,False,False,0,1,3.42,0,0.241,-0.934,-5.31,-0.167,-5.468,0,-4.248,,1,1,0.911,0.911,0.911
